,NAME,HG,N,ELV,SA,Z,LT,ST,DA,RF,FR,DAM,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3
0,ALLIGATOR.P,0.025,2,1494,47,26,2,0,1,0.69,0.8,1,45,37,50,69,12,30
1,DIMMICK.P(LITTLE),0.05,4,1390,41,14,2,0,4,0.66,19.4,1,45,13,45,69,52,25
2,HOSMER.P,0.071,3,212,53,16,3,0,2,0.62,6.8,0,44,12,53,69,7,44
3,PENNINGTON.P,0.08,2,904,45,5,2,0,1,0.51,17.5,1,46,56,10,68,31,11
4,INDIAN.P(BIG),0.09,4,1209,280,68,1,1,5,0.76,0.9,1,45,26,20,69,44,12
5,BUBBLE.P,0.1,2,331,32,39,3,0,1,0.64,1.9,0,44,20,44,68,14,20
6,SANDY.RIVER.P(LOWER),0.1,3,1690,17,21,2,1,4,0.56,64.1,1,44,53,52,70,32,34
8,TOGUE.P,0.11,5,1189,388,85,1,1,4,0.56,0.3,1,46,56,1,68,53,30
9,TOGUS.P,0.12,5,180,660,49,2,1,5,0.51,0.5,1,44,19,28,69,39,31
10,CHASE.P(FIRST),0.13,2,995,12,37,1,1,4,0.54,28.6,1,46,53,28,68,53,46
11,OTTER.P,0.13,3,1633,14,18,2,0,0,0.71,1.8,1,45,10,51,70,58,53
13,SPENCER.P,0.14,3,1045,980,16,3,0,21,0.61,5.4,0,45,44,34,69,33,31
15,OTTER.P,0.16,4,1373,30,8,2,0,0,0.61,2.3,1,45,21,57,70,44,53
16,VARNUM.P,0.16,5,756,331,75,1,1,4,0.61,0.5,0,44,39,27,70,14,23
17,BEN.ANNIS.P,0.18,5,122,25,9,2,0,10,0.51,58.8,1,44,46,25,68,56,35
18,CHUB.P,0.18,5,1095,24,19,2,1,0,0.46,0.8,1,45,27,30,70,18,20
19,SYMMES.P,0.18,5,499,36,30,2,1,1,0.61,3.3,0,43,38,56,70,52,43
20,WEBBER.P,0.18,4,118,1201,41,2,1,28,0.51,1.6,0,44,24,13,69,39,53
21,SEWALL.P,0.19,5,15,46,11,2,0,0,0.6,1.7,0,43,52,7,69,46,48
22,WEYMOUTH.P,0.19,5,296,87,15,2,0,1,0.47,2,1,44,58,9,69,19,33
23,DAMARISCOTTA.L,0.21,4,54,4381,114,3,1,57,0.59,0.5,0,44,10,45,69,28,30
24,LONG.P,0.21,4,1157,3053,44,3,0,558,0.46,20.3,1,45,37,20,70,2,8
25,ROACH.P(SECOND),0.22,5,1271,970,46,3,0,25,0.66,2.1,0,45,40,34,69,16,36
26,ROWE.P,0.22,5,1203,205,43,3,1,2,0.56,0.8,1,45,7,32,69,59,29
27,GREENWOOD.P(LITTLE),0.24,3,683,61,38,1,1,1,0.61,1.1,1,45,22,7,69,24,50
28,HAY.L,0.24,2,653,588,34,3,0,6,0.53,0.8,1,46,9,10,68,43,18
29,CHANDLER.L,0.25,5,824,401,19,2,0,5,0.52,1.1,1,46,27,13,68,42,12
30,WOOD.P(LITTLE.BIG),0.25,5,1244,713,80,1,1,39,0.46,2,1,45,38,12,70,20,40
31,CHURCHILL.L,0.26,5,922,2923,62,1,1,298,0.51,5.8,0,46,26,41,69,18,10
32,SQUAW.P(BIG),0.26,5,1486,91,96,1,1,1,0.76,0.8,0,45,27,22,69,40,44
33,BEAVER.P,0.27,5,397,128,8,3,0,2,0.61,7.9,1,43,59,47,70,49,26
34,GRAND.L(WEST),0.28,2,298,14340,128,1,1,226,0.56,0.5,0,45,13,56,67,48,6
36,KNIGHT.P,0.28,5,101,49,18,3,0,0,0.51,0.9,1,43,15,21,70,45,49
38,CARLTON.BOG(POND),0.29,5,203,430,8,2,0,23,0.51,20.1,0,44,42,14,69,16,21
39,COBBOSSEECONTEE.L,0.29,5,165,5543,100,2,1,131,0.51,1.1,0,44,15,10,69,56,30
40,UMBAGOG.L,0.29,5,1245,7850,48,2,0,600,0.56,9.2,0,44,47,25,71,0,47
41,BRACKETT.L,0.31,5,446,576,25,2,0,7,0.56,1.1,1,45,44,44,67,51,34
42,MEDDYBEMPS.L,0.32,5,170,6765,38,2,0,45,0.62,0.6,0,45,4,27,67,21,43
43,KINGSBURY.P,0.34,5,929,390,62,3,1,13,0.61,2.2,0,45,6,38,69,39,19
44,FLYING.P,0.35,4,345,360,80,3,1,15,0.51,1.7,0,44,31,16,69,59,36
45,KEENE.L,0.35,3,195,115,37,3,1,1,0.61,1.3,1,45,6,38,67,10,30
46,FISH.P,0.36,3,1503,211,58,1,1,6,0.56,1.8,1,45,44,46,70,7,27
47,FISHER.P(BIG),0.36,5,1150,60,11,2,0,1,0.56,2.9,1,45,46,43,69,17,5
48,PEASE.P,0.36,5,377,109,19,2,0,2,0.58,2.2,1,44,35,55,70,10,34
49,THIRD.L,0.36,2,751,474,37,1,1,32,0.56,7.4,0,46,14,42,69,1,54
50,LILY.P,0.37,5,146,44,30,3,1,0,0.46,1,1,44,27,54,69,42,20
51,NEQUASSET.P,0.37,3,17,392,63,3,1,21,0.58,2.3,0,43,57,4,69,46,13
52,SANDY.RIVER.P(MID),0.37,5,1700,70,58,3,1,4,0.56,3.8,1,44,53,52,70,33,16
53,SLY.BROOK.L(SECOND),0.37,5,637,13,21,3,1,3,0.5,25.2,1,47,7,11,68,31,19
54,PATTEE.P,0.38,5,141,712,27,2,0,17,0.46,2.3,1,44,32,1,69,33,49
55,CROSS.L,0.39,5,578,2515,46,3,0,164,0.5,3.3,1,47,5,16,68,18,32
56,LONG.P,0.4,5,390,271,36,3,1,3,0.58,0.9,1,44,55,25,68,15,59
57,BURNT.P,0.41,5,328,315,27,3,0,45,0.58,0.7,1,44,44,41,68,31,41
58,CRYSTAL(BEALS).P,0.41,5,328,47,39,3,1,1,0.54,1.1,1,44,16,55,70,16,10
59,SENNEBEC.P,0.41,3,87,532,57,3,1,106,0.6,14.2,0,44,15,26,69,15,59
60,SUNDAY.P,0.41,5,1409,30,50,3,1,1,0.61,1.9,1,44,47,56,70,57,12
61,WADLEIGH.P,0.41,5,913,225,90,1,1,41,0.61,7.3,1,45,44,43,69,11,24
62,BRANCH.P(UPPER.MID),0.43,3,341,467,55,1,1,4,0.58,0.5,1,44,54,0,68,14,45
63,CHASE.L,0.43,5,819,403,31,3,1,47,0.58,9.5,1,46,24,26,69,2,18
64,DEBSCONEAG.L(4TH),0.43,2,634,227,150,1,1,6,0.53,0.5,1,45,45,4,69,4,43
65,JUMP.P,0.43,5,312,29,42,3,1,1,0.56,3.3,1,44,24,9,69,23,55
66,UMCOLCUS.L,0.43,4,882,630,17,2,0,15,0.61,2.9,1,46,17,16,68,25,49
67,EAGLE.L,0.44,5,574,5581,136,1,1,762,0.5,3.2,1,47,2,24,68,33,10
68,ROUND.P,0.44,5,474,161,32,3,1,2,0.55,0.7,1,44,25,57,70,13,15
69,LAMBERT.L,0.45,5,419,605,60,3,1,6,0.58,0.7,1,45,32,56,67,33,15
70,LOVEWELL.P,0.45,5,357,1120,45,2,1,9,0.06,0.1,1,44,0,7,70,55,36
71,SHIN.P(LOWER),0.47,5,778,638,25,3,0,23,0.56,4.2,1,46,5,9,68,33,50
72,MOOSELEUK.L,0.48,5,846,422,6,2,0,92,0.58,45.2,1,46,30,33,68,54,18
73,PLEASANT.L,0.48,5,232,339,36,3,1,3,0.62,0.7,0,45,3,59,67,29,10
74,BURDEN.P,0.49,5,639,197,32,3,1,17,0.58,10.5,1,45,20,42,69,14,44
75,WIGHT.P,0.49,5,67,135,21,3,1,11,0.58,5.9,0,44,27,48,68,40,33
76,ROUND(GREY).P,0.51,4,269,134,30,2,1,3,0.47,2.1,1,44,44,26,69,13,30
77,ROBERTS&WADLEY.PDS,0.52,5,271,203,22,3,0,9,0.58,10.1,0,43,32,6,70,38,34
78,NORTH.P,0.54,5,487,175,10,3,0,1,0.57,1.5,0,44,15,38,70,35,11
79,PASSAGASSAWAUKEAG.L,0.55,5,304,118,40,3,1,3,0.55,1.9,1,44,30,48,69,7,51
80,ANASAGUNTICOOK.L,0.57,5,402,568,54,2,1,15,0.56,1.1,0,44,25,13,70,19,22
81,EMBDEN.P,0.57,3,416,1568,158,1,1,22,0.53,0.3,0,44,55,54,69,56,58
82,ROUND.P,0.57,1,34,250,34,2,1,116,0.61,43.7,1,44,12,3,69,17,36
83,BRANCH.L(SOUTH),0.58,5,227,2035,28,2,0,12,0.51,0.6,0,45,23,27,68,40,43
84,PLEASANT.P,0.6,5,362,239,15,3,0,14,0.06,1.2,1,44,0,24,70,53,25
86,JERRY.P,0.62,5,717,272,13,3,0,4,0.56,2.7,1,46,5,50,68,40,33
89,NORTH.P,0.62,4,510,164,50,2,1,2,0.56,0.7,0,44,19,43,70,24,1
90,PINE.P(BIG),0.67,1,1097,164,33,3,1,5,0.51,3.3,1,45,52,1,69,25,37
91,PITCHER.P,0.67,5,204,367,38,3,0,9,0.58,2.3,0,44,20,14,69,2,24
92,ROCKY.P,0.68,5,312,153,14,2,0,2,0.57,1.8,1,44,35,17,68,35,52
93,FOLSOM.P,0.71,5,221,282,19,2,0,14,0.49,6.2,0,45,20,25,68,26,37
94,GRAHAM.L,0.71,3,102,7865,47,2,0,499,0.58,5.8,0,44,35,38,68,26,15
95,GRANGER.P,0.73,5,524,126,28,3,0,1,0.61,1,0,43,57,6,70,46,50
96,BAUNEAG.BEG.L,0.75,4,205,200,29,2,1,18,0.51,9.6,0,43,21,46,70,44,23
97,BALCH&STUMP.PONDS,0.77,5,557,704,44,2,1,14,0.58,2.7,0,43,37,0,70,59,4
98,BURNT.MEADOW.P,0.77,5,374,63,45,2,1,4,0.62,4.5,1,43,55,28,70,53,9
100,JACOB.BUCK.P,0.77,4,205,190,52,1,1,3,0.53,0.8,1,44,38,45,68,44,40
101,OSSIPEE.L(LITTLE),0.77,3,311,564,74,2,1,6,0.61,0.8,0,43,35,48,70,42,26
102,BASKAHEGAN.L,0.79,5,417,6944,22,2,0,123,0.57,2,1,45,30,32,67,50,2
103,CANADA.FALLS.L,0.79,4,1235,2627,24,2,0,182,0.61,13.1,0,45,52,15,70,0,1
104,HORSESHOE.L,0.8,3,454,202,20,2,0,2,0.58,1.1,1,45,1,5,68,3,52
105,BRADBURY(BARKER).L,0.81,2,449,38,45,1,1,17,0.51,24.5,1,46,8,10,68,0,31
106,TRAVEL.P,0.82,4,204,102,6,2,0,14,0.57,50.9,1,44,15,14,69,31,49
107,ORANGE.L,0.86,5,76,234,24,3,0,19,0.66,12.6,0,44,46,8,67,14,56
108,KEEWAYDIN.L,0.89,2,676,307,52,2,1,9,0.06,0.3,0,44,15,54,70,50,13
109,HICKS.P,0.9,5,683,93,18,3,0,10,0.59,18.9,0,44,18,24,70,39,16
110,CEDAR.L,0.91,4,500,685,25,2,0,5,0.51,0.6,1,45,31,14,68,48,32
111,CHAIN.OF.PONDS,0.91,5,1273,700,106,1,1,65,0.62,4.3,0,45,21,8,70,41,50
112,FIELDS.P,0.96,5,109,182,31,2,0,3,0.51,8.2,0,44,43,47,68,44,6
113,BOTTLE.L,1.05,5,298,281,42,2,1,8,0.48,2.1,1,45,18,36,68,3,17
114,ALLEN.P,1.08,3,425,83,27,3,1,2,0.6,2.8,1,44,57,44,68,5,7
115,MACHIAS.L(FOURTH),1.12,5,311,1539,26,3,0,66,0.56,4.7,1,45,7,39,68,0,26
116,MOLUNKUS.L,1.12,5,354,1050,38,2,0,35,0.52,2.5,0,45,39,40,68,18,18
117,FOREST.L,1.22,5,276,210,38,2,1,3,0.53,1.4,0,43,49,12,70,19,42
118,RANGE.P(LOWER),1.25,3,306,290,41,2,1,14,0.51,3.7,0,44,2,25,70,21,31
119,HODGDON.P,2.5,4,50,35,22,2,1,1,0.63,3.9,1,44,19,32,68,23,51
